Make,Model,Year,Transmission Type,Color,Type,Location,Price
Lexus,RX 330,2006,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 11,300,000"
Toyota,Corolla,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Lexus,RX 350L Luxury AWD,2018,Automatic,Gray,Foreign Used,"Abuja, Jahi","₦ 55,000,000"
Mercedes-Benz,GLA 250,2017,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,850,000"
Lexus,RX,2016,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 45,000,000"
Toyota,Camry,2012,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 12,800,000"
Toyota,Avalon,2013,Automatic,Burgundy,Foreign Used,"Abuja, Mbora","₦ 16,850,000"
Subaru,Forester,2015,CVT,White,Foreign Used,"Lagos, Alimosho","₦ 16,000,000"
Lexus,RX 350 F SPORT AWD,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,500,000"
Toyota,Avalon,2014,Automatic,Green,Foreign Used,"Lagos, Amuwo-Odofin","₦ 20,500,000"
Lexus,ES 350,2008,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 11,300,000"
Lexus,RX 350 AWD,2014,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,500,000"
Mercedes-Benz,M Class,2014,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 31,000,000"
Toyota,RAV4,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Toyota,Land Cruiser,2005,Automatic,Black,Local Used,"Abuja, Gaduwa","₦ 11,000,000"
Toyota,Corolla,2016,CVT,Black,Local Used,"Ekiti, Ado Ekiti","₦ 11,800,000"
Mercedes-Benz,GLC-Class,2018,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 45,000,000"
Toyota,Camry,2016,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 17,500,000"
Toyota,RAV4 3.5 Limited 4x4,2010,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 14,950,000"
Lexus,ES 350,2007,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,000,000"
Toyota,Venza,2012,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Land,Rover Range Rover Vogue,2020,Automatic,Black,Local Used,"Abuja, Kaura","₦ 117,000,000"
Honda,Ridgeline,2008,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 9,500,000"
Lexus,GX 470,2008,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 18,000,000"
Mercedes-Benz,C400,2015,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 37,000,000"
Lexus,GX 460,2011,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 47,000,000"
Toyota,Highlander,2018,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 45,000,000"
Lexus,GX 470 Sport Utility,2007,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,550,000"
Toyota,Camry,2015,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 17,000,000"
Mercedes-Benz,GLA 250,2021,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 55,000,000"
Toyota,Corolla,2016,CVT,Black,Local Used,"Ekiti, Ado Ekiti","₦ 11,800,000"
Toyota,Camry,2013,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,800,000"
Mercedes-Benz,M Class ML 350 4Matic,2013,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,800,000"
Mercedes-Benz,GLA 250,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 30,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 26,000,000"
Mercedes-Benz,GLK-Class,2015,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 24,500,000"
Toyota,Camry,2010,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 10,500,000"
Toyota,Land Cruiser,2005,Automatic,Black,Local Used,"Abuja, Gaduwa","₦ 11,000,000"
Toyota,Camry,2014,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 17,000,000"
Mercedes-Benz,GLK-Class,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 10,500,000"
Lexus,RX 350 AWD,2013,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 23,000,000"
Toyota,RAV4 3.5 Limited 4x4,2010,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 14,950,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 24,700,000"
Lexus,ES 330,2006,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 8,500,000"
Mercedes-Benz,GLE-Class GLE 350 4MATIC,2020,Automatic,Gold,Foreign Used,"Lagos, Ikeja","₦ 97,000,000"
Toyota,Highlander SE 3.5L 4WD,2013,Automatic,Gray,Foreign Used,"Lagos, Ikeja","₦ 18,700,000"
Lexus,ES 350,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,900,000"
Lincoln,MKX,2018,Automatic,Brown,Foreign Used,"Lagos, Ikeja","₦ 60,000,000"
Lexus,IS 250 AWD Automatic,2010,Automatic,Silver,Foreign Used,"Lagos, Ikorodu","₦ 11,900,000"
Mercedes-Benz,M Class,2014,Automatic,Black,Foreign Used,"Abuja, Jahi","₦ 32,000,000"
Lexus,GX,2013,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 34,000,000"
Toyota,Camry,2010,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 10,000,000"
Land,Rover Range Rover Vogue,2020,Automatic,Black,Local Used,"Abuja, Kaura","₦ 117,000,000"
Lexus,RX 350,2017,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 42,000,000"
Lexus,GX 470 Sport Utility,2007,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,550,000"
Mercedes-Benz,GLA 250,2016,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 31,000,000"
Lexus,RX 350 AWD,2015,Automatic,Blue,Foreign Used,"Lagos, Surulere","₦ 31,500,000"
Toyota,Avalon,2014,Automatic,Green,Foreign Used,"Lagos, Amuwo-Odofin","₦ 20,500,000"
Toyota,Venza XLE AWD V6,2013,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 22,500,000"
Lexus,RX 350,2010,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 18,800,000"
Toyota,Sienna LE AWD,2008,Automatic,Silver,Foreign Used,"Lagos, Isolo","₦ 9,500,000"
Toyota,Sienna,2012,Automatic,Gray,Local Used,"Lagos, Ajah","₦ 10,800,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Gold,Foreign Used,"Lagos, Ikotun/Igando","₦ 25,400,000"
Mercedes-Benz,M Class,2015,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 31,550,000"
Toyota,RAV4,2015,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,Brown,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,000,000"
Lexus,IS,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 10,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 24,500,000"
Toyota,Venza,2012,Automatic,Black,Foreign Used,"Lagos, Magodo","₦ 19,500,000"
Mercedes-Benz,GLK-Class,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 22,900,000"
Mercedes-Benz,M Class,2015,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 33,000,000"
Lexus,ES,2014,Automatic,Gray,Foreign Used,"Lagos, Isolo","₦ 23,000,000"
Toyota,Venza,2012,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Lexus,GX 470 Sport Utility,2007,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,550,000"
Toyota,Highlander,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Toyota,Tundra Platinum,2022,Automatic,Gray,Foreign Used,"Abuja, Central Business District","₦ 66,000,000"
Lexus,RX 330,2005,Automatic,Gold,Local Used,"Delta, Oshimili South","₦ 9,800,000"
Lexus,ES 350,2008,Automatic,Blue,Foreign Used,"Lagos, Ogba","₦ 10,500,000"
Lexus,RX 350,2010,Automatic,Blue,Foreign Used,"Lagos, Ikeja","₦ 21,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 22,800,000"
Lexus,GX 460 Premium,2013,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 32,400,000"
Toyota,Camry,2011,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 10,500,000"
Lexus,GX,2013,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 46,500,000"
Mercedes-Benz,GLK-Class 350,2014,Automatic,Black,Foreign Used,"Abuja, Kubwa","₦ 17,500,000"
Lexus,RX 350,2017,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 42,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,000,000"
Lexus,RX 350,2017,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 76,500,000"
Lexus,RX 350,2010,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 22,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 20,500,000"
Lexus,ES 350,2009,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 12,800,000"
Infiniti,QX56,2009,Automatic,Black,Foreign Used,"Lagos, Alimosho","₦ 8,000,000"
Toyota,Venza V6,2011,Automatic,Red,Foreign Used,"Lagos, Ojodu","₦ 15,300,000"
Lexus,RX 350 AWD,2017,Automatic,Silver,Foreign Used,"Lagos, Magodo","₦ 56,000,000"
Mercedes-Benz,GLC-Class,2017,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 53,999,000"
Lexus,ES 350,2012,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 15,000,000"
Toyota,Highlander,2022,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 82,000,000"
Lexus,RX,2010,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 24,000,000"
Lexus,ES 350,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,000,000"
Toyota,Corolla Altis,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,000,000"
Mercedes-Benz,GLC-Class,2017,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 57,000,000"
Toyota,Sequoia,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 37,500,000"
Toyota,Venza,2012,Automatic,Brown,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Toyota,Sequoia,2010,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 27,000,000"
Toyota,RAV4,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 19,000,000"
Mercedes-Benz,GLE-Class GLE 350,2017,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 39,750,000"
Toyota,Camry,2010,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 9,300,000"
Ford,Transit,2012,Automatic,Black,Local Used,"Oyo, Ibadan","₦ 5,400,000"
Lexus,ES 350,2009,Automatic,Red,Foreign Used,"Lagos, Lekki","₦ 13,500,000"
Lexus,ES 350,2008,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,000,000"
Lexus,RX 350,2010,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 18,800,000"
Lexus,RX 350L FWD,2019,Automatic,White,Foreign Used,"Lagos, Surulere","₦ 60,000,000"
Lexus,RX 350 AWD,2019,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 62,500,000"
Toyota,Venza,2011,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 18,500,000"
Hyundai,Sonata,2015,Automatic,Silver,Foreign Used,"Abuja, Mabushi","₦ 16,800,000"
Lexus,ES 350,2008,Automatic,Black,Local Used,"Abuja, Central Business District","₦ 8,500,000"
Lexus,LX 570 AWD,2015,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 51,500,000"
Lexus,RX 350 AWD,2013,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 27,500,000"
Toyota,Tundra Platinum,2021,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 75,000,000"
Mercedes-Benz,GL-Class,2014,Automatic,Black,Local Used,"Lagos, Ikeja","₦ 27,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2012,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 17,500,000"
Toyota,Camry,2012,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Toyota,Corolla Altis,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,000,000"
Mercedes-Benz,GLC-Class,2017,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 57,000,000"
Lexus,RX 350 AWD,2017,Automatic,Silver,Foreign Used,"Lagos, Magodo","₦ 56,000,000"
Lexus,RX 350 AWD,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 25,000,000"
Lexus,RX 350 AWD,2012,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Lexus,ES 350,2009,Automatic,Gold,Foreign Used,"Lagos, Isolo","₦ 13,000,000"
Toyota,Corolla,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 14,000,000"
Toyota,Camry,2012,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Mercedes-Benz,GLK-Class 350,2014,Automatic,Black,Foreign Used,"Abuja, Kubwa","₦ 17,500,000"
Mercedes-Benz,GLE-Class GLE 350,2016,Automatic,Black,Foreign Used,"Lagos, Oshodi","₦ 43,500,000"
Lexus,ES,2012,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 13,500,000"
Lexus,ES 350,2008,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,000,000"
Lexus,GX 460 Luxury,2014,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 51,000,000"
Toyota,Sequoia,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 37,500,000"
Lexus,RX,2008,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,300,000"
Lexus,RX 350,2019,Automatic,Silver,Foreign Used,"Abuja, Kubwa","₦ 65,000,000"
Toyota,Avalon,2014,Automatic,Black,Local Used,"Lagos, Ajah","₦ 21,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 22,800,000"
Lexus,GX 460,2011,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 47,000,000"
Lexus,RX 350 AWD,2009,Automatic,Beige,Foreign Used,"Lagos, Apapa","₦ 13,000,000"
Toyota,Highlander,2022,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 82,000,000"
Lexus,GX 460 Premium,2011,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 35,500,000"
Toyota,RAV4 Limited,2008,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 10,800,000"
Toyota,Highlander Limited 3.5L 2WD,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 16,000,000"
Lexus,RX 350,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 27,500,000"
Lexus,GX 460 Base,2014,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 52,000,000"
Toyota,Camry,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 9,500,000"
Lexus,RX,2004,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 13,000,000"
Toyota,Highlander,2015,Automatic,Black,Foreign Used,"Lagos, Gbagada","₦ 31,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2012,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 16,500,000"
Toyota,Camry,2012,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 13,300,000"
Lexus,RX 350,2015,Automatic,Gold,Foreign Used,"Lagos, Ikeja","₦ 25,000,000"
Mercedes-Benz,GLE-Class GLE 350,2016,Automatic,Gray,Foreign Used,"Lagos, Lekki","₦ 37,000,000"
Lexus,NX 200t AWD,2016,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 35,000,000"
Lexus,RX 350 FWD,2015,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 28,500,000"
Lexus,ES 350,2007,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 12,000,000"
Mercedes-Benz,GLE-Class GLE 350,2017,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 39,750,000"
Toyota,Highlander,2008,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Mercedes-Benz,M Class ML 550 4Matic,2013,Automatic,White,Foreign Used,"Lagos, Isolo","₦ 25,800,000"
Toyota,Sienna LE AWD,2005,Automatic,Gray,Foreign Used,"Lagos, Ajah","₦ 9,800,000"
Toyota,Highlander XLE V6 4x4 (3.5L 6cyl 6A),2016,Automatic,White,Foreign Used,"Abuja, Kubwa","₦ 29,800,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2013,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 23,500,000"
Toyota,Avalon,2015,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 23,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 19,000,000"
Mercedes-Benz,GLA-Class,2016,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 28,000,000"
Toyota,Camry,2008,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 8,500,000"
Infiniti,JX,2013,Automatic,White,Local Used,"Lagos, Yaba","₦ 10,300,000"
Toyota,Camry,2012,Automatic,Red,Foreign Used,"Abuja, Central Business District","₦ 14,900,000"
Lexus,GX 470,2007,Automatic,Gold,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,550,000"
Toyota,Highlander,2015,Automatic,Black,Foreign Used,"Lagos, Gbagada","₦ 31,000,000"
Mercedes-Benz,GLA-Class,2016,Automatic,Blue,Foreign Used,"Lagos, Apapa","₦ 26,500,000"
Lexus,RX 350 AWD,2013,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 23,000,000"
Lexus,GX 460 Luxury,2015,Automatic,White,Foreign Used,"Lagos, Isolo","₦ 48,500,000"
Toyota,RAV4,2010,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 13,000,000"
Toyota,Avalon,2013,Automatic,Gray,Local Used,"Abuja, Kubwa","₦ 15,900,000"
Toyota,Sienna,2012,Automatic,Gray,Local Used,"Lagos, Ajah","₦ 10,800,000"
Toyota,Corolla,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 12,800,000"
Mercedes-Benz,GLK-Class,2015,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 25,500,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2010,Automatic,Blue,Foreign Used,"Lagos, Amuwo-Odofin","₦ 16,800,000"
Lexus,RX 350,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Lexus,RX 350,2011,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 20,500,000"
Mercedes-Benz,GLE-Class AMG GLE 53 4MATIC,2021,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 175,000,000"
Toyota,Avalon,2013,Automatic,Gray,Local Used,"Abuja, Kubwa","₦ 15,900,000"
Lexus,RX 350 AWD,2012,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 19,500,000"
Toyota,RAV4,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 19,000,000"
Mercedes-Benz,GLC-Class,2016,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 39,000,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 19,000,000"
Lexus,GX,2013,Automatic,Red,Foreign Used,"Lagos, Amuwo-Odofin","₦ 35,000,000"
Lexus,RX 350,2017,Automatic,White,Foreign Used,"Lagos, Maryland","₦ 49,000,000"
Land,Rover Range Rover,2018,Automatic,Blue,Foreign Used,"Lagos, Lekki","₦ 125,000,000"
Mercedes-Benz,GLE-Class GLE 350,2017,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 36,000,000"
Lexus,GX 460 Base,2014,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 52,000,000"
Mercedes-Benz,GLC-Class,2018,Automatic,Red,Foreign Used,"Lagos, Surulere","₦ 49,850,000"
Lexus,RX 350,2011,Automatic,Gold,Foreign Used,"Lagos, Maryland","₦ 23,000,000"
Lexus,ES 350,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 12,800,000"
Mercedes-Benz,M Class ML 350 4Matic,2013,Automatic,Silver,Foreign Used,"Lagos, Amuwo-Odofin","₦ 26,700,000"
Toyota,Sienna,2015,Automatic,White,Foreign Used,"Lagos, Maryland","₦ 24,500,000"
Mercedes-Benz,GLE-Class GLE 350 4MATIC,2021,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 89,500,000"
Lexus,RX 350,2021,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 76,000,000"
Lexus,RX 350 AWD,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 25,000,000"
Toyota,Highlander,2016,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 35,000,000"
Lexus,ES 350,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Mercedes-Benz,M Class ML 350 4Matic,2011,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Toyota,Highlander,2015,Automatic,Blue,Foreign Used,"Lagos, Maryland","₦ 29,000,000"
Mercedes-Benz,M Class,2010,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,500,000"
Buick,Enclave,2014,Automatic,Blue,Local Used,"Abuja, Kaura","₦ 12,800,000"
Lexus,ES 350,2011,Automatic,Gold,Foreign Used,"Lagos, Ipaja","₦ 15,000,000"
Lexus,ES 350 FWD,2015,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 23,900,000"
Toyota,Camry,2020,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 44,500,000"
Mercedes-Benz,M Class,2009,Automatic,Black,Foreign Used,"Edo, Benin City","₦ 14,300,000"
Toyota,Camry,2013,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 15,500,000"
Lexus,IS 250 4WD,2015,Automatic,White,Foreign Used,"Lagos, Maryland","₦ 25,000,000"
Mercedes-Benz,M Class ML 550 4Matic,2013,Automatic,White,Foreign Used,"Lagos, Isolo","₦ 25,800,000"
Toyota,Camry,2012,Automatic,Red,Foreign Used,"Abuja, Central Business District","₦ 14,900,000"
Lexus,ES,2014,Automatic,Gray,Foreign Used,"Lagos, Isolo","₦ 23,000,000"
Toyota,Camry,2014,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,850,000"
Toyota,Highlander,2016,Automatic,Black,Foreign Used,"Lagos, Ogba","₦ 39,500,000"
Lexus,RX 350,2013,Automatic,Silver,Foreign Used,"Lagos, Lekki","₦ 26,500,000"
Toyota,RAV4 3.5 Limited,2011,Automatic,Brown,Foreign Used,"Lagos, Amuwo-Odofin","₦ 14,000,000"
Toyota,Camry,2007,Automatic,Gold,Foreign Used,"Lagos, Maryland","₦ 9,700,000"
Lexus,RX 350 F Sport FWD,2017,Automatic,Brown,Foreign Used,"Lagos, Ajah","₦ 46,000,000"
Mercedes-Benz,GLE-Class GLE 350,2017,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 36,000,000"
Lexus,RX 350 FWD,2018,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 52,000,000"
Lexus,GX,2014,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 35,000,000"
Toyota,Camry XSE FWD,2020,Automatic,White,Foreign Used,"Abuja, Utako","₦ 44,000,000"
Toyota,Camry,2013,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 15,500,000"
Ford,Edge,2008,Automatic,White,Foreign Used,"Lagos, Maryland","₦ 8,700,000"
Mercedes-Benz,M Class ML 550 4Matic,2013,Automatic,White,Foreign Used,"Lagos, Isolo","₦ 25,800,000"
Hyundai,Sonata,2012,Automatic,Silver,Local Used,"Lagos, Lekki","₦ 11,550,000"
Mercedes-Benz,GLK-Class 350 4MATIC,2014,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 22,800,000"
Lexus,RX,2016,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 49,000,000"
Toyota,Alphard,2023,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 90,000,000"
Lexus,RX 350 AWD,2017,Automatic,Gold,Foreign Used,"Lagos, Apapa","₦ 57,000,000"
Toyota,Tundra 1794,2022,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 142,000,000"
Honda,Civic,2015,Automatic,White,Foreign Used,"Lagos, Maryland","₦ 14,000,000"
Lexus,GX 460 Luxury,2015,Automatic,White,Foreign Used,"Lagos, Surulere","₦ 60,000,000"
Lexus,RX 350,2018,Automatic,Gray,Foreign Used,"Lagos, Lekki","₦ 70,000,000"
Lexus,RX 350,2014,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 26,300,000"
Lexus,GX 470 Sport Utility,2007,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 15,100,000"
Lexus,ES 350,2009,Automatic,Gold,Foreign Used,"Lagos, Isolo","₦ 13,000,000"
Mercedes-Benz,M Class,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 27,000,000"
Mercedes-Benz,M Class,2015,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 30,000,000"
Hyundai,Elantra,2014,Automatic,Silver,Foreign Used,"Lagos, Maryland","₦ 13,200,000"
Mercedes-Benz,GLE-Class GLE 350 4MATIC,2021,Automatic,White,Foreign Used,"Lagos, Lekki","₦ 89,500,000"
Mercedes-Benz,M Class ML 350 4Matic,2012,Automatic,Blue,Foreign Used,"Lagos, Ajah","₦ 23,500,000"
Mercedes-Benz,GLC-Class,2017,Automatic,Gray,Foreign Used,"Lagos, Surulere","₦ 62,500,000"
Lexus,GX 460 Premium,2013,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 32,400,000"
Mercedes-Benz,GLC-Class,2017,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 39,000,000"
Lexus,RX 350 AWD,2015,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 25,000,000"
Toyota,Highlander Sport,2008,Automatic,Gray,Foreign Used,"Lagos, Maryland","₦ 13,800,000"
