Make,Model,Year,Transmission Type,Color,Type,Location,Price
Toyota,Tacoma,2013,Automatic,Green,Foreign Used,"Lagos, Apapa","₦ 25,500,000"
Toyota,Venza,2014,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 22,500,000"
Ford,Transit,2012,Automatic,Black,Local Used,"Oyo, Ibadan","₦ 5,400,000"
Toyota,Hilux 2.7 VVT-i 4X4 SRX,2012,Manual,White,Local Used,"Delta, Warri","₦ 14,000,000"
Toyota,RAV4,2016,Automatic,Orange,Foreign Used,"Lagos, Apapa","₦ 27,900,000"
Land,Rover Range Rover Sport,2015,Automatic,White,Foreign Used,"Lagos, Ogba","₦ 39,500,000"
Lexus,RX 350,2017,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 50,000,000"
Lexus,ES,2011,Automatic,Red,Foreign Used,"Lagos, Apapa","₦ 13,500,000"
Mercedes-Benz,GLE-Class GLE 350,2017,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 46,000,000"
Toyota,Fortuner,2005,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 9,500,000"
Mercedes-Benz,GLE-Class GLE 350 4MATIC,2019,Automatic,White,Foreign Used,"Lagos, Ajah","₦ 43,000,000"
Honda,Accord 2.4 i-VTEC Exec Automatic,2009,Inspected,Blue,Loan,"Rivers, Port-Harcourt","₦ 5,343,750"
Toyota,Sequoia,2008,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 19,500,000"
Lexus,GX 460 Luxury,2020,Automatic,Black,Local Used,"Lagos, Agege","₦ 39,500,000"
Toyota,Fortuner,2005,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 9,500,000"
Toyota,Camry,2015,Automatic,Red,Foreign Used,"Lagos, Ojota","₦ 17,300,000"
Mercedes-Benz,M Class,2013,Automatic,White,Foreign Used,"Lagos, Ikeja","₦ 27,500,000"
Toyota,Camry,2010,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Kia,Optima,2012,Automatic,Black,Local Used,"Lagos, Ajah","₦ 6,300,000"
Acura,MDX,2014,Automatic,Gray,Foreign Used,"Lagos, Ikeja","₦ 23,000,000"
Hyundai,Elantra,2014,Automatic,Black,Local Used,"Lagos, Lekki","₦ 7,500,000"
Mercedes-Benz,GLC-Class,2017,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 45,000,000"
Lexus,LX,2015,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 62,000,000"
Lexus,RX,2016,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 49,000,000"
Mercedes-Benz,E300,2017,Automatic,Black,Local Used,"Abuja, Jabi","₦ 27,900,000"
Mercedes-Benz,CLA-Class CLA 250 4MATIC Sedan,2014,Automatic,Red,Foreign Used,"Lagos, Lekki","₦ 26,500,000"
Mercedes-Benz,M Class ML 350 4Matic,2007,Automatic,Black,Local Used,"Lagos, Ogba","₦ 6,500,000"
Lexus,RX 350,2017,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 53,000,000"
New,Lexus LX,2023,Automatic,Black,Brand New,"Abuja, Kado","₦ 380,000,000"
Hyundai,Sonata,2013,Automatic,White,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,000,000"
Toyota,Highlander,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 35,000,000"
Hyundai,Sonata,2013,Automatic,Silver,Foreign Used,"Lagos, Alimosho","₦ 14,300,000"
Toyota,Camry,2010,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 11,500,000"
Mercedes-Benz,GLE-Class AMG GLE 43 4MATIC,2017,Automatic,White,Foreign Used,"Lagos, Victoria Island","₦ 83,500,000"
Toyota,RAV4 XLE AWD (2.5L 4cyl 6A),2017,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 33,000,000"
Toyota,Corolla,2017,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 21,000,000"
Toyota,Camry,2013,Automatic,Black,Foreign Used,"Lagos, Amuwo-Odofin","₦ 13,150,000"
Toyota,Tundra,2018,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 37,000,000"
Land,Rover Discovery Sport HSE,2015,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 42,000,000"
Toyota,Corolla,2007,Automatic,Red,Local Used,"Enugu, Enugu / Enugu State","₦ 5,500,000"
Hyundai,Santa Fe,2011,Automatic,Blue,Local Used,"Abuja, Kaura","₦ 6,450,000"
Mercedes-Benz,C300,2015,Automatic,Gray,Local Used,"Lagos, Ojodu","₦ 19,300,000"
Pontiac,Vibe 2.4 4WD,2010,Automatic,Black,Foreign Used,"Lagos, Shomolu","₦ 11,000,000"
Toyota,Tacoma,2018,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 40,000,000"
Toyota,Corolla,2013,Automatic,Silver,Foreign Used,"Abuja, Kubwa","₦ 13,600,000"
Toyota,Highlander Limited 3.5l 4WD,2013,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 20,000,000"
Toyota,Venza V6 AWD,2011,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 20,000,000"
Toyota,Sienna XLE,2002,Automatic,Gray,Local Used,"Enugu, Enugu / Enugu State","₦ 3,500,000"
Hyundai,Tucson,2013,Automatic,Black,Foreign Used,"Abuja, Jabi","₦ 12,800,000"
Toyota,Camry,2014,Automatic,Red,Local Used,"Lagos, Agege","₦ 11,500,000"
Toyota,Highlander,2015,Automatic,White,Foreign Used,"Lagos, Apapa","₦ 35,000,000"
Lexus,RX 350,2011,Automatic,Black,Foreign Used,"Lagos, Apapa","₦ 23,500,000"
Lexus,RX 350,2011,Automatic,Red,Foreign Used,"Lagos, Ikeja","₦ 22,000,000"
Mercedes-Benz,GLK-Class,2010,Automatic,Black,Foreign Used,"Lagos, Agege","₦ 17,600,000"
Land,Rover Range Rover Evoque,2012,Automatic,Blue,Local Used,"Lagos, Ogba","₦ 12,000,000"
Mercedes-Benz,S-Class S 560 4MATIC (W222),2019,Automatic,Black,Foreign Used,"Lagos, Lekki","₦ 98,000,000"
Ford,Escape,2014,Automatic,Red,Foreign Used,"Lagos, Agege","₦ 13,500,000"
Toyota,Highlander,Limited,Automatic,2012,Foreign Used,"Lagos, Apapa","₦ 17,000,000"
Mercedes-Benz,E350,2013,Automatic,Black,Foreign Used,"Kaduna, Kaduna / Kaduna State","₦ 21,500,000"
Lexus,RX 350L Luxury AWD,2018,Automatic,Gray,Foreign Used,"Abuja, Jahi","₦ 55,000,000"
Lexus,ES 330 Sedan,2004,Automatic,Blue,Foreign Used,"Lagos, Ikeja","₦ 9,500,000"
Toyota,Corolla,2016,Automatic,Silver,Foreign Used,"Abuja, Kubwa","₦ 15,000,000"
Ford,Ecosport,2016,Automatic,Silver,Local Used,"Lagos, Ifako-Ijaiye","₦ 7,200,000"
Land,Rover Range Rover Velar D180 S 4x4,2018,Automatic,White,Foreign Used,"Lagos, Egbe/Idimu","₦ 65,000,000"
Toyota,Venza V6,2012,Automatic,Gold,Local Used,"Rivers, Port-Harcourt","₦ 14,000,000"
Toyota,Venza V6 AWD,2011,Automatic,Black,Foreign Used,"Lagos, Ikeja","₦ 20,000,000"
Toyota,Corolla LE,2021,Automatic,Blue,Foreign Used,"Lagos, Ikeja","₦ 25,500,000"
Lexus,GX,2014,Automatic,Gray,Foreign Used,"Lagos, Apapa","₦ 38,500,000"
Lexus,ES 350,2009,Automatic,Silver,Foreign Used,"Lagos, Apapa","₦ 10,700,000"
Mercedes-Benz,M Class,2015,Automatic,Gray,Foreign Used,"Lagos, Amuwo-Odofin","₦ 31,550,000"
Mercedes-Benz,M Class ML 350 BlueTEC 4Matic,2013,Automatic,Brown,Foreign Used,"Lagos, Ogba","₦ 22,500,000"
